claim_id	claim_name	source_id	dataset_id	logical_unit_id	primary_role	selection_exposure	role_source	permitted_role	forbidden_use	eligibility_status	response_ready	treatment_context	timepoint_scope	endpoint_scope	reason	leakage_group_id
H1	cross-cancer response-blind molecular and cell states	006_GSE238264	006_GSE238264	dataset::006_GSE238264	HCC_post_treatment_spatial_response_support	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	HCC_post_treatment_spatial_response_support	no_baseline_and_PD1_cabozantinib_effects_not_separable	ready_for_metadata_scoped_use	post_treatment_association_only	PD1X_extension	7	pathologic_response	no_baseline_and_PD1_cabozantinib_effects_not_separable	
H1	cross-cancer response-blind molecular and cell states	006_GSE286827	006_GSE286827	dataset::006_GSE286827	external_direction_support	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	external_direction_support	small_arm_and_dual_ICI_not_clean_PD1_replication	ready_for_metadata_scoped_use	within_environment_only	PDL1_ICI_anchor|dual_ICI_support	57	pathologic_response	small_arm_and_dual_ICI_not_clean_PD1_replication	
H1	cross-cancer response-blind molecular and cell states	006_GSE291246	006_GSE291246	dataset::006_GSE291246	BCC_cross_cancer_spatial_support	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	BCC_cross_cancer_spatial_support	18_sections_lack_transcripts_and_response_is_unavailable	ready_for_metadata_scoped_use	no	post_PD1|treatment_naive	35	unknown_or_mixed	18_sections_lack_transcripts_and_response_is_unavailable	
H1	cross-cancer response-blind molecular and cell states	006_GSE301741	006_GSE301741	dataset::006_GSE301741	HNSCC_anchor_candidate	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	HNSCC_anchor_candidate	formal_mid_level_measurement_coverage_insufficient	pending_interface_closure	no	PD1_ICI_anchor	27	pathologic_response	formal_mid_level_measurement_coverage_insufficient	
H1	cross-cancer response-blind molecular and cell states	006_LAMBRECHT_HCC	006_LAMBRECHT_HCC	dataset::006_LAMBRECHT_HCC	HCC_external_combination_trajectory_validation	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	HCC_external_combination_trajectory_validation	old_v7_summary_25_pre_22_post_22_paired_conflicts_with_effective_v1; checkpoint_and_combination_drug_differ_from_TASK02	ready_for_metadata_scoped_use	paired_or_context_support_only	PD1X_extension	112	RECIST	old_v7_summary_25_pre_22_post_22_paired_conflicts_with_effective_v1; checkpoint_and_combination_drug_differ_from_TASK02	
H1	cross-cancer response-blind molecular and cell states	006_Mendeley_HCC	006_Mendeley_HCC	dataset::006_Mendeley_HCC	HCC_spatial_structure_support	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	HCC_spatial_structure_support	local_h5ad_is_scRNA_not_spatial; patient_section_response_and_image_scale_contract_not_closed	pending_interface_closure	no	high_confounding_support	12	RECIST	local_h5ad_is_scRNA_not_spatial; patient_section_response_and_image_scale_contract_not_closed	
H1	cross-cancer response-blind molecular and cell states	006_TASK01	006_TASK01	dataset::006_TASK01	HCC_PD1_reference_and_longitudinal_anchor	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	HCC_PD1_reference_and_longitudinal_anchor	collection_dates_and_first_dose_timeline_not_fully_proven	ready_for_metadata_scoped_use	within_environment_only	PD1_ICI_anchor	72	mRECIST	collection_dates_and_first_dose_timeline_not_fully_proven	
H1	cross-cancer response-blind molecular and cell states	006_TASK02	006_TASK02	dataset::006_TASK02	HCC_PD1_plus_X_longitudinal_rewiring	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	HCC_PD1_plus_X_longitudinal_rewiring	PD1_plus_lenvatinib_not_exchangeable_with_TASK01	ready_for_metadata_scoped_use	paired_or_context_support_only	PD1X_extension	66	mRECIST	PD1_plus_lenvatinib_not_exchangeable_with_TASK01	
H1	cross-cancer response-blind molecular and cell states	006_bulk	006_bulk	dataset::006_bulk	external_patient_level_direction_and_clinical_scale	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	external_patient_level_direction_and_clinical_scale	treatment_endpoint_and_mapping_require_per_cohort_audit	ready_for_metadata_scoped_use	no	PD1_ICI_anchor_bulk|bulk_combo_support|external_anchor_only	0	RECIST	treatment_endpoint_and_mapping_require_per_cohort_audit	
H1	cross-cancer response-blind molecular and cell states	006_perturbation	006_perturbation	dataset::006_perturbation	intervention_to_program_direction	not_run_v7_stage1_metadata_audit	006_effective_metadata_and_v7_registry	intervention_to_program_direction	cell_context_and_target_coverage_not_clinical_response	ready_for_metadata_scoped_use	no	external_anchor_only	0	unknown	cell_context_and_target_coverage_not_clinical_response	
