unit_id	dataset_id	platform	patient_id	section_id	cohort_id	source	target	status	estimate	n_observations	n_directed_edges
u_06354e16952f7f24	GSE238264	Visium	GSE238264::HCC5	section_8667dce2ed4b30530789	GSE238264	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_35b207a8eaf9e7d7	GSE238264	Visium	GSE238264::HCC7	section_0a20db810ea246f0e75a	GSE238264	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_aa6d6e52872d3391	GSE291246	Xenium	GSE291246::su001	section_e49cb9b3db539e3cd6e9	GSE291246	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_3fe8f2263abf3d56	GSE291246	Xenium	GSE291246::su001	section_d4bcb073498269586851	GSE291246	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_012abc3165bfcd1d	GSE291246	Xenium	GSE291246::su002	section_471faa5ac80084ea4105	GSE291246	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_2067c6bfa97cd05c	GSE291246	Xenium	GSE291246::su002	section_428542c85c3acf7cd4ef	GSE291246	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_ca689ffbe33ebe56	GSE291246	Xenium	GSE291246::su002	section_275be10f4e700604d69b	GSE291246	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_3f30e46885153ac0	HTAN_VANDERBILT_CRC	Visium	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	section_f21a876e24aafe9b2955	HTAN_VANDERBILT_CRC	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_7657a4074642a6ce	HTAN_VANDERBILT_CRC	Visium	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	section_2cc126c0a7d6f5f9d731	HTAN_VANDERBILT_CRC	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_2430323d543e400c	HTAN_VANDERBILT_CRC	Visium	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	section_e856267f203d2064f3e9	HTAN_VANDERBILT_CRC	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
u_edfbca2f7d3f32c2	HTAN_VANDERBILT_CRC	Visium	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	section_e39c34541ed20ce3c52b	HTAN_VANDERBILT_CRC	T	Myeloid	NOT_ESTIMABLE_MISSING_COMPOSITION		0	0
