mapping_id	cohort_id	annotation_field	original_label	harmonized_coarse	harmonized_mid	harmonized_fine	coarse_ontology_id	mid_ontology_id	fine_ontology_id	mapping_confidence	mapping_status	mapping_resolution_status	shadow_candidate_level	shadow_candidate_label	shadow_candidate_ontology_id	n_shadow_observations	mapping_source	source_sha256
canonical__7b6a83617795cba3d16d	GSE123813_bcc	celltype_raw	B_cells_1	B_Plasma	B_cell	Unknown	identity::coarse::B_Plasma	identity::mid::B_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__712b0b8181216080331e	GSE123813_bcc	celltype_raw	B_cells_2	B_Plasma	B_cell	Unknown	identity::coarse::B_Plasma	identity::mid::B_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__2af4a929131032c723d3	GSE123813_bcc	celltype_raw	CAFs	CAF_Stromal	CAF	Unknown	identity::coarse::CAF_Stromal	identity::mid::CAF	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__2de3a41075b1213279ad	GSE123813_bcc	celltype_raw	CD4_T_cells	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__8bc9343af10eea7075ce	GSE123813_bcc	celltype_raw	CD8_act_T_cells	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__6e2d7e5a62ec9bfe3977	GSE123813_bcc	celltype_raw	CD8_ex_T_cells	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__8fe570649a7a23f7d985	GSE123813_bcc	celltype_raw	CD8_mem_T_cells	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__b2cc207f332685278e95	GSE123813_bcc	celltype_raw	DCs	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__84342a306958a55c1652	GSE123813_bcc	celltype_raw	Endothelial	Endothelial	Endothelial	Unknown	identity::coarse::Endothelial	identity::mid::Endothelial	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__7735a1be9e97efe103a3	GSE123813_bcc	celltype_raw	Macrophages	Myeloid	Macrophage	Unknown	identity::coarse::Myeloid	identity::mid::Macrophage	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
