claim_id	execution_status	scientific_result	scientific_stage_closure	evidence_locator	boundary
C01_response_blind_vocabulary	COMPLETE_MEASUREMENT	SUPPORTED_MEASUREMENT_ONLY	OPEN_FULL_CROSS_MODAL_EQUIVALENCE	results/v7/ontology/measurement_reliability.tsv	scRNA测量资格不等于所有模态等价
C02_spatial_proxy_primitives	COMPLETE_DESCRIPTIVE	INCONCLUSIVE_MECHANISTIC_INTERPRETATION	OPEN	results/v7/spatial_discovery/review_factors_2026-09-11/patient_balanced_primitives.tsv	5个既定proxy；患者平衡描述不等于屏障
C03_topology_increment	NOT_RUN	PENDING_VALID_COMPARISON	OPEN	results/v7/spatial_discovery/repair_2026-09-11/STAGE4_REPAIR_AUDIT.md	缺同一合格独立目标上的完整基线比较；不能改为生物学否定
C04_open_spatial_field	NOT_RUN_FULL_FIELD_VALIDATION	PENDING_VALID_COMPARISON	OPEN	results/v7/spatial_discovery/review_factors_2026-09-11/PHASE_SUMMARY.md	模块压缩结果不能代替开放空间场
C05_molecular_clinical_increment	COMPLETE_CURRENT_BASELINE	NOT_SUPPORTED_STABLE_INCREMENT_IN_CURRENT_TEST	OPEN_EXTERNAL_VALIDATION	results/v7/clinical_anchor/review_rerun_2026-09-11/paired_model_increment.tsv	125患者6环境；24项区间无稳定正增量；不等于机制不存在
C06_composition_TASK01	COMPLETE_CURRENT_BASELINE	INCONCLUSIVE_EXPLORATORY	OPEN_EXTERNAL_VALIDATION	results/v7/clinical_anchor/review_rerun_2026-09-11/environment_effects.tsv	composition并不证明空间屏障；模型公平比较以新共同折为准
C07_HCC_context	COMPLETE_DESCRIPTIVE_NOT_REPLICATION	INCONCLUSIVE	OPEN	results/v7/context/repair_2026-09-11/hcc_qualification.tsv	仅1个合格HCC空间来源；无独立HCC复现
C08_molecular_direction	COMPLETE_CROSSFIT_SENSITIVITY	INCONCLUSIVE_REPAIR	OPEN	results/v7/repair/direction_review_2026-09-11/direction_permutation_results.tsv	训练内方向、整向量置换和组成敏感性已补；独立组合与barrier资格未闭合
C09_spatial_rewiring	BLOCKED	NOT_IDENTIFIABLE	OPEN	results/v7/repair/review_rerun_2026-09-11/observed_spatial_rewiring.tsv	post-only空间不构成同患者纵向重排
C10_measured_perturbation_direction	COMPLETE_CONDITION_CONTRAST	SUPPORTED_MEASURED_CONTRAST_ONLY	OPEN_PD1X_LINK	results/v7/perturbation/review_rerun_2026-09-11/measured_perturbation_direction.tsv	156个真实条件对比；非药物因果效应或PD1X修复
C11_external_validation	NOT_RUN	PENDING_QUALIFIED_VALIDATION	OPEN	results/v7/external_validation/PHASE_SUMMARY.md	不把已有开发来源或其他模态相似方向升级为独立验证
C12_x_class_generalization	BLOCKED_QUALIFICATION	NOT_IDENTIFIABLE_CURRENT_QUALIFICATION	OPEN	results/v7/repair/stage9_x_class/x_class_qualification.tsv	至少3个机制类及合格正负例条件尚未满足
C13_post_spatial_response	COMPLETE_EXPLORATORY	INCONCLUSIVE_MECHANISTIC_INTERPRETATION	OPEN_INDEPENDENT_VALIDATION	results/v7/clinical_anchor/post_spatial_review_2026-09-11/post_treatment_spatial_response.tsv	7患者4R3NR；5个相关proxy均正；post-only开发支持、非预测或repair
C14_module_compressibility	COMPLETE_HELD_OUT_COMPARISON	SUPPORTED_LIMITED_K2_COMPRESSIBILITY	OPEN_SPATIAL_FIELD	results/v7/spatial_discovery/review_factors_2026-09-11/patient_held_out_nmf.tsv	K2稳定压缩不等于真实空间场；K4/K8收敛不稳，Xenium完整子空间不可估计
