asset_id	source_path	disposition	v7_role	validity_boundary	status_evidence	evidence_sha256
v6_effective_interface	results/v6_2/data_interface_repair_v1	reuse	patient_sample_timepoint_treatment_expression_interface	use_effective_v1_and_current_release_only	NA	pending_stage1_manifest
v6_measurement_foundation	results/v6_2/phase6_measurement_foundation_repair_v1	reuse	response_blind_program_projection	large_outputs_local_only	NA	pending_stage1_manifest
v6_module_benchmark	results/v6_2/phase6_module_algorithm_benchmark_strengthened	reuse_reinterpret	program_stability_and_algorithm_evidence	membership_and_names_are_not_immutable	NA	pending_stage1_manifest
v6_phase7_measurement	results/v6_2/phase7_module_measurement_and_barrier_identifiability_repair_v1	reuse_reinterpret	measurement_uncertainty_and_identifiability	independent_claim_gate_not_representation_filter	NA	pending_stage1_manifest
v6_phase5_confounding	results/v6_2/phase5_strong_baseline_and_confounding_audit_repair_v1	archive_risk	confounding_baseline	performance_not_v7_result	NA	pending_stage1_manifest
v6_phase8_historical	results/v6_2/phase8_anchor_repair_and_statistical_strengthening_repair_v1	archive	governance_and_failure_provenance	response_model_not_run	NA	pending_stage1_manifest
v6_realignment	results/v6_2/scientific_engineering_realignment_v1	reuse_decisions_archive_gates	architecture_drift_and_data_gap_evidence	historical_fixed_contracts_inactive	NA	pending_stage1_manifest
v6_scripts_context_repair	scripts/v6_2/context_repair	reuse	identity_and_projection_tooling	adapt_to_v7_schema	NA	pending_stage1_manifest
v6_scripts_phase4_7	scripts/v6_2	reuse_components	measurement_and_audit_components	old_phase_entrypoints_not_v7_mainline	NA	pending_stage1_manifest
v6_scripts_phase8	scripts/v6_2/run_phase8_anchor_context.py|scripts/v6_2/run_phase8_anchor_repair_strengthening.py|scripts/v6_2/run_phase8_bounded_repair.py	archive	provenance_only	do_not_run_as_v7	NA	pending_stage1_manifest
v61_hash_perturbation	scripts/v6_1/run_phase6_perturbation_mapping.py	reject_numeric_scores	manual_annotation_only	hash_derived_scores_not_experimental_effects	NA	pending_stage1_manifest
spatial_registry	/home/huyudi/013_spatial/infra/sample-registry	reuse_read_only	cross_repository_spatial_intake	identity_unknowns_remain_unknown	/home/huyudi/013_spatial/infra/sample-registry/role_freeze.tsv	f02c9f7a862bda345b1bb913a3d495b118ea2f0dcd41df4d38ebebe8429ff96e
spatial_structure_registry	/home/huyudi/013_spatial/infra/structure-registry	reuse_read_only	GT_and_input_isolation	GT_not_discovery_input	/home/huyudi/013_spatial/infra/structure-registry/README.md	00af5de113eb8844aa7a06b2e2cad3194933661799e9b0849255fe2b180b4cfa
spatial_r04_code	/home/huyudi/013_spatial/r04|/home/huyudi/013_spatial/scripts/r04_*	reuse_components	counts_coordinate_loader_split_and_diagnostics	K_and_fields_not_scientifically_selected	/home/huyudi/013_spatial/infra/r04/README.md	f0ccbe586a2e09289c94ed0c5990eeb400373c287945cfe64e0e7b38a004296a
spatial_r04_diagnostics	/home/huyudi/013_spatial/infra/r04	reuse_diagnostics_not_scientific_result	optimization_and_restart_stability_evidence	RESTART_STABILITY_DIAGNOSTIC_COMPLETE_NOT_FORMAL_K_SELECTION	/home/huyudi/013_spatial/infra/r04/restart_stability_panel_20260831.json	2a711cc254ba87db9f646cf468bfd1a6e3477d38519777fdf7fa2059ef40c276
